uid|sb|code|error|updated
uid://A002/X75f169/X8b4|uid://A002/X6f9b0f/Xcb|2012.1.00603.S|0.108307671875|True
uid://A002/X75f169/X97b|uid://A002/X6f9b0f/Xc4|2012.1.00603.S|0.102462881418|False
uid://A002/X75f169/Xbf6|uid://A002/X6f9b0f/Xc4|2012.1.00603.S|0.115487204446|False
uid://A002/X75f169/Xe48|uid://A002/X6f9b0f/Xc4|2012.1.00603.S|0.112030643749|False
uid://A002/X75f169/X1106|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0782036988229|False
uid://A002/X7776f1/Xa98|uid://A002/X6f9b0f/Xbc|2012.1.00603.S|0.0533854085499|False
uid://A002/X7776f1/Xdf3|uid://A002/X6f9b0f/Xbc|2012.1.00603.S|0.0533854085499|False
uid://A002/X7776f1/X11ae|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0770142280388|False
uid://A002/X779b0a/X39b|uid://A002/X6f9b0f/Xcc|2012.1.00603.S|0.0286034926|False
uid://A002/X779b0a/X540|uid://A002/X6f9b0f/Xcc|2012.1.00603.S|0.0286034926|False
uid://A002/X779b0a/X70b|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0770142280388|False
uid://A002/X779b0a/Xb1f|uid://A002/X6f9b0f/Xcc|2012.1.00603.S|0.0286034926|False
uid://A002/X877956/X18f9|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0770142280388|False
uid://A002/X960614/X5c9|uid://A002/X6f9b0f/Xc3|2012.1.00603.S|0.0714975762685|False
uid://A002/X960614/X6ae|uid://A002/X6f9b0f/Xc7|2012.1.00603.S|0.0683526970307|False
uid://A002/X96e770/X48e|uid://A002/X6f9b0f/Xbc|2012.1.00603.S|0.0533854085499|False
uid://A002/X988073/X19f0|uid://A002/X6f9b0f/Xcc|2012.1.00603.S|0.0286034926|False
uid://A002/X9a9a13/X4d0|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0770142280388|False
uid://A002/X9a9a13/X5e4|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0770142280388|False
uid://A002/X9a9a13/Xada|uid://A002/X6f9b0f/Xc0|2012.1.00603.S|0.0241116310032|False
uid://A002/X9aa6ef/X1e3|uid://A002/X6f9b0f/Xc0|2012.1.00603.S|0.0241116310032|False
uid://A002/X9aca45/Xba|uid://A002/X6f9b0f/Xc4|2012.1.00603.S|0.052524960347|False
uid://A002/X9aca45/X3c3|uid://A002/X6f9b0f/Xc4|2012.1.00603.S|0.052524960347|False
uid://A002/X9aca45/X697|uid://A002/X6f9b0f/Xc4|2012.1.00603.S|0.052524960347|False
uid://A002/X9f15bd/X34d3|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0770142280388|False
uid://A002/X9f71ec/X2ab|uid://A002/X6f9b0f/Xc8|2012.1.00603.S|0.0770142280388|False
uid://A002/X80c782/X17a6|uid://A002/X74fe5d/X1d|2012.1.00608.S|0.0188901850565|False
uid://A002/X80e1ef/X1820|uid://A002/X74fe5d/X1e|2012.1.00608.S|0.0163878201329|False
uid://A002/X80e1ef/X1a50|uid://A002/X74fe5d/X1f|2012.1.00608.S|0.0105565570815|False
uid://A002/X72e960/Xdcc|uid://A002/X6b0cc1/Xd6|2012.1.00641.S|0.115052102422|False
uid://A002/X72e960/Xfd8|uid://A002/X6b0cc1/Xd6|2012.1.00641.S|0.108802067471|False
uid://A002/X72e960/X1219|uid://A002/X6b0cc1/Xd6|2012.1.00641.S|0.0999952781974|False
uid://A002/X735201/X2c6|uid://A002/X6b0cc1/Xda|2012.1.00641.S|0.0939813573768|False
uid://A002/X735201/X38a|uid://A002/X6b0cc1/Xda|2012.1.00641.S|0.102719878871|False
uid://A002/X735201/X4a3|uid://A002/X6b0cc1/Xda|2012.1.00641.S|0.101644211523|False
uid://A002/X7363c7/X1d5|uid://A002/X6b0cc1/Xd8|2012.1.00641.S|0.0959091428284|False
uid://A002/X7363c7/X431|uid://A002/X6b0cc1/Xd8|2012.1.00641.S|0.0870350865609|False
