,UID,DATE,ValidUID,NullState,SyscalTime,CSV2555
1375,uid://A002/X80199b/X5bd,2014-04-29 11:06:07.701000,True,True,True,False
1376,uid://A002/X80199b/X4a7,2014-04-29 10:31:54.821000,True,True,True,True
1377,uid://A002/X80199b/X4a5,2014-04-29 10:29:08.011000,True,True,True,True
1378,uid://A002/X80199b/X4a4,2014-04-29 10:19:27.117000,True,True,True,True
1379,uid://A002/X80199b/X464,2014-04-29 10:11:58.293000,True,True,True,True
1380,uid://A002/X80199b/Xb2,2014-04-29 08:50:30.924000,True,True,True,False
1381,uid://A002/X80199b/X7b,2014-04-29 08:43:41.333000,True,True,True,False
1382,uid://A002/X800eb6/Xce6,2014-04-29 06:11:51.788000,False,True,True,False
1383,uid://A002/X800eb6/Xc52,2014-04-29 05:57:09.756000,True,True,True,False
1384,uid://A002/X800eb6/Xa41,2014-04-29 04:36:17.974000,True,True,True,False
1385,uid://A002/X800eb6/X86a,2014-04-29 03:05:07.317000,True,True,True,False
1386,uid://A002/X800eb6/X6b3,2014-04-29 01:51:47.271000,True,True,True,False
1387,uid://A002/X800eb6/X557,2014-04-29 01:08:10.720000,True,True,True,False
1388,uid://A002/X800eb6/X50e,2014-04-29 00:37:19.403000,True,True,True,False
1389,uid://A002/X800eb6/X498,2014-04-29 00:19:29.089000,True,True,True,True
1390,uid://A002/X800eb6/X3c1,2014-04-28 23:46:56.779000,True,True,True,True
1391,uid://A002/X800eb6/X143,2014-04-28 22:27:41.931000,True,True,True,False
1392,uid://A002/X800eb6/X52,2014-04-28 21:53:54.165000,True,True,True,False
1393,uid://A002/X7fffd6/X16c8,2014-04-28 12:17:28.687000,True,True,True,False
1394,uid://A002/X7fffd6/X1485,2014-04-28 11:13:15.946000,True,True,True,False
1395,uid://A002/X7fffd6/X1223,2014-04-28 10:10:38.142000,True,True,True,False
1396,uid://A002/X7fffd6/X11d7,2014-04-28 10:00:30.411000,True,True,True,False
1397,uid://A002/X7fffd6/Xf0f,2014-04-28 08:50:15.997000,True,True,True,False
1398,uid://A002/X7fffd6/Xcfe,2014-04-28 07:53:46.244000,True,True,True,False
1399,uid://A002/X7fffd6/Xbc5,2014-04-28 07:20:19.978000,True,True,True,False
1400,uid://A002/X7fffd6/Xb0a,2014-04-28 06:42:09.610000,True,True,True,False
1401,uid://A002/X7fffd6/Xa43,2014-04-28 06:11:34.147000,True,True,True,False
